processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBCM17542-19	MK887430	10878621	Eve_Davsha_D4		Mined from GenBank, NCBI		BOLD:AAY3465	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.356	109.499							Russia													
GBCM17543-19	MK887431	10878622	Eve_Davsha_D5		Mined from GenBank, NCBI		BOLD:AAY3465	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.356	109.499							Russia													
GBCM17550-19	MK887437	10878629	Eve_Kotelnikovskyi_N5		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.0667	109.107							Russia													
GBCM17551-19	MK887438	10878630	Eve_Kotelnikovskyi_N6		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.0667	109.107							Russia													
GBCM17552-19	MK887439	10878631	Eve_Kotelnikovskyi_N7		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.0667	109.107							Russia													
GBCM17554-19	MK887441	10878633	Eve_Kotelnikovskyi_N9		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.0667	109.107							Russia													
GBCM17556-19	MK887450	10878635	Eve_Kultuk_L12		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.7292	103.729							Russia													
GBCM17559-19	MK887453	10878638	Eve_Kultuk_L15		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.7292	103.729							Russia													
GBCM17562-19	MK887444	10878641	Eve_Kultuk_L3		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.7292	103.729							Russia													
GBCM17566-19	MK887448	10878645	Eve_Kultuk_L9		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.7292	103.729							Russia													
GBCM17567-19	MK887457	10878646	Eve_Listvyanka_Y11		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17568-19	MK887458	10878647	Eve_Listvyanka_Y12		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17570-19	MK887460	10878649	Eve_Listvyanka_Y14		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17574-19	MK887464	10878653	Eve_Listvyanka_Y19		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17575-19	MK887465	10878654	Eve_Listvyanka_Y20		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17576-19	MK887455	10878655	Eve_Listvyanka_Y4		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17577-19	MK887456	10878656	Eve_Listvyanka_Y9		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8706	104.828							Russia													
GBCM17585-19	MK887473	10878664	Eve_Maloe_More_2013_3M1		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17587-19	MK887483	10878666	Eve_Maloe_More_2013_3M11		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17589-19	MK887485	10878668	Eve_Maloe_More_2013_3M13		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17591-19	MK887474	10878670	Eve_Maloe_More_2013_3M2		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17593-19	MK887476	10878672	Eve_Maloe_More_2013_3M4		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17596-19	MK887479	10878675	Eve_Maloe_More_2013_3M7		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.2036	107.344							Russia													
GBCM17599-19	MK887487	10878678	Eve_Olkhon_O1		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.0674	107.315							Russia													
GBCM17606-19	MK887490	10878685	Eve_Olkhon_O9		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.0674	107.315							Russia													
GBCM17609-19	MK887496	10878688	Eve_Onguryon_Q2		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.6169	107.617							Russia													
GBCM17610-19	MK887497	10878689	Eve_Onguryon_Q3		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.6169	107.617							Russia													
GBCM17617-19	MK887505	10878696	Eve_Pokoiniki_shallow_bay_P1		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.0118	108.243							Russia													
GBCM17618-19	MK887506	10878697	Eve_Pokoiniki_Solnechnaya_H1		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.0299	108.257							Russia													
GBCM17619-19	MK887507	10878698	Eve_Pokoiniki_Solnechnaya_H2		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.0299	108.257							Russia													
GBCM17628-19	MK887517	10878707	Eve_Port_Baikal_Pb20		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8707	104.812							Russia													
GBCM17629-19	MK887518	10878708	Eve_Port_Baikal_Pb21		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8707	104.812							Russia													
GBCM17630-19	MK887519	10878709	Eve_Port_Baikal_Pb22		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8707	104.812							Russia													
GBCM17631-19	MK887520	10878710	Eve_Port_Baikal_Pb23		Mined from GenBank, NCBI		BOLD:AEB1649	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.8707	104.812							Russia													
GBCM17640-19	MK887533	10878719	Eve_Severobaikalsk_S21		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.6181	109.354							Russia													
